date,review,score,month,day,tfidf_features
2022-07-06,"Continuing the epic big-screen adventures started in Iron Man, The Incredible Hulk, Iron Man 2, Thor and Captain America: The First Avenger, Marvel's The Avengers is the superhero team up of a lifetime.",5,2022-07,Wednesday,"america:0.20, and:0.08, avengers:0.12, big:0.23, captain:0.21, epic:0.26, first:0.19, hulk:0.17, in:0.11, incredible:0.27, iron:0.36, is:0.09, man:0.35, marvel:0.14, of:0.09, screen:0.23, superhero:0.16, team:0.23, the:0.36, thor:0.19, up:0.17"
2022-06-23,"Great film, had a lot pressure, but finally, after a nobody-wanted 1st half, it finds itself, and becomes something.",6,2022-06,Thursday,"after:0.33, and:0.11, but:0.17, film:0.19, finally:0.38, great:0.19, had:0.26, half:0.40, it:0.13, lot:0.31, something:0.34, wanted:0.42"
2022-06-06,I watched the movie in cinemas when I was 17 years old but it’s really the best movie and it’s really exciting. All six superheroes came together to take down evil. I give this 10/10,10,2022-06,Monday,"10:0.41, all:0.11, and:0.07, best:0.13, but:0.11, came:0.26, down:0.25, exciting:0.25, give:0.22, in:0.10, it:0.16, movie:0.16, old:0.28, really:0.31, superheroes:0.19, take:0.24, the:0.13, this:0.08, to:0.08, together:0.17, was:0.11, watched:0.25, when:0.17, years:0.25"
2022-05-21,"Surely entertaining movie: great action and visual effects. In addition you have many superheroes, so if you dont like one (I dont like Iron man and Captain America), there are plenty others. The story is epic. Also the villain is great: Loki is not easy to fully understand control and therefore always interesting.",9,2022-05,Saturday,"action:0.09, also:0.16, always:0.23, america:0.16, and:0.18, are:0.12, captain:0.17, easy:0.23, effects:0.15, entertaining:0.19, epic:0.21, great:0.22, have:0.11, if:0.14, in:0.09, interesting:0.21, iron:0.14, is:0.22, like:0.24, loki:0.16, man:0.14, many:0.18, movie:0.07, not:0.11, one:0.11, so:0.13, story:0.14, superheroes:0.17, the:0.11, there:0.13, to:0.07, understand:0.25, villain:0.18, visual:0.23, you:0.22"
2022-05-12,"The Avengers is the first super blockbuster in the Marvel film universe. For 2012, it was something new, such crossovers have not yet been released. The Avengers is the first really cool movie in the Marvel film universe. Good completion of the first phase.",8,2022-05,Thursday,"2012:0.20, avengers:0.18, been:0.15, blockbuster:0.19, cool:0.20, film:0.20, first:0.41, for:0.09, good:0.10, have:0.10, in:0.16, is:0.13, it:0.07, marvel:0.20, movie:0.06, new:0.18, not:0.10, of:0.06, really:0.12, something:0.18, such:0.18, super:0.16, the:0.36, universe:0.42, was:0.09, yet:0.19"
2022-05-08,Super corny but is fun as hell to watch wish Joss Whedon could have kept this same energy for Avengers Age of Ultron.,8,2022-05,Sunday,"as:0.22, avengers:0.19, but:0.18, could:0.31, for:0.18, fun:0.29, have:0.21, is:0.14, joss:0.30, of:0.13, same:0.43, super:0.33, this:0.14, to:0.14, watch:0.30, whedon:0.28"
2022-04-21,"The Avengers. This is an Avengers-level threat! A real movie boom! Assemble a team of superheroes and watch them fight. All the actors performed their roles perfectly, and the title theme is forever recorded in the memory.",10,2022-04,Thursday,"actors:0.26, all:0.14, an:0.17, and:0.16, avengers:0.26, fight:0.28, in:0.12, is:0.20, level:0.32, movie:0.09, of:0.09, perfectly:0.31, real:0.30, superheroes:0.23, team:0.24, the:0.31, their:0.21, them:0.23, this:0.10, watch:0.21"
2022-04-06,"Simply excellent in its entirety. Charismatic villain, a good story and a great cgi",9,2022-04,Wednesday,"and:0.12, cgi:0.48, excellent:0.40, good:0.22, great:0.21, in:0.17, its:0.30, simply:0.44, story:0.26, villain:0.35"
2022-03-25,"The Avengers is groundbreaking. Never before has there been five movies about characters who team up in one big film. In that case, The Avengers is one of the most ambitious films of all-time.",10,2022-03,Friday,"about:0.19, all:0.13, avengers:0.26, been:0.22, before:0.27, big:0.24, characters:0.15, film:0.14, films:0.22, has:0.18, in:0.23, is:0.19, most:0.21, movies:0.15, never:0.24, of:0.18, one:0.28, team:0.23, that:0.12, the:0.23, there:0.18, time:0.17, up:0.18, who:0.21"
2022-03-13,"The Avengers is a movie that on paper should not have worked, but in the end it manages to not only juggle its multiple characters effortlessly, but it is also one of the most entertaining superhero blockbusters ever made. A comic book movie that isn't afraid or embarrassed to be a comic book movie, The Avengers is a delight from start to finish.",8,2022-03,Sunday,"also:0.15, avengers:0.18, be:0.11, book:0.34, but:0.18, characters:0.11, comic:0.30, end:0.17, entertaining:0.18, ever:0.15, from:0.13, have:0.11, in:0.08, is:0.21, isn:0.20, it:0.14, its:0.15, made:0.15, most:0.15, movie:0.20, multiple:0.23, not:0.20, of:0.06, on:0.12, one:0.10, only:0.15, or:0.14, should:0.18, start:0.20, superhero:0.12, that:0.17, the:0.22, to:0.20"
2022-01-19,"Strong start for the Avengers franchise. However, IW and Endgame were much better.",10,2022-01,Wednesday,"and:0.14, avengers:0.23, better:0.39, for:0.23, however:0.47, much:0.32, start:0.50, the:0.13, were:0.35"
2022-01-05,"Revisiting this movie, it doesn't hold up quite as well as it did at the time. It's still definitely watchable and amazing that they were finally able to get all of these characters together in one movie, but some of the dialogue is a bit cheesy and it seems like they were really intent on finding reasons for the heroes to fight each other, even if it doesn't make much sense. It was easy to overlook the faults at the time because it was so amazing that Captain America and Iron Man were in the same movie, but they have definitely done better team up movies since. I also don't remember the costumes being as silly as they are. Black Widow and Cap basically look like they are wearing pajamas.",7,2022-01,Wednesday,"all:0.05, also:0.08, amazing:0.16, america:0.08, and:0.13, are:0.12, as:0.24, at:0.14, because:0.09, being:0.10, better:0.09, bit:0.11, black:0.10, but:0.10, captain:0.09, characters:0.06, definitely:0.20, dialogue:0.10, did:0.08, doesn:0.19, don:0.09, done:0.10, each:0.09, easy:0.12, even:0.08, fight:0.11, finally:0.11, for:0.05, get:0.09, have:0.06, heroes:0.08, if:0.07, in:0.09, iron:0.07, is:0.04, it:0.26, like:0.13, look:0.12, make:0.09, man:0.07, movie:0.11, movies:0.06, much:0.07, of:0.07, on:0.06, one:0.06, other:0.08, quite:0.11, really:0.07, same:0.12, seems:0.13, sense:0.12, since:0.11, so:0.07, some:0.07, still:0.09, team:0.09, that:0.09, the:0.21, these:0.10, they:0.36, this:0.04, time:0.14, to:0.11, together:0.08, up:0.14, was:0.10, well:0.07, were:0.23, widow:0.10"
2021-12-30,----------------------------------8.4/10-----------------------------------,8,2021-12,Thursday,10:1.00
2021-12-13,"Having been one of the biggest success films ever is its gift and its curse. It's a grandiose and unforgettable visual spectacle, it has the most creative shots in the MCU, the action scenes are shocking and some characters have their best roles in this film.
All mentioned is the gift of the movie and the curse is that it has our full attention only in that aspects, because the film has a great script, round, complete and with great value, but they almost force you to ignore the story as such and just enjoy the fights.
I have watch it again and my experience was totally different now that I was paying attention to the script.",8,2021-12,Monday,"action:0.06, again:0.12, all:0.06, almost:0.14, and:0.27, are:0.07, as:0.07, because:0.10, been:0.10, best:0.07, biggest:0.15, but:0.06, characters:0.07, different:0.14, enjoy:0.13, ever:0.10, experience:0.14, film:0.14, films:0.10, full:0.14, great:0.13, has:0.26, have:0.14, having:0.15, in:0.16, is:0.14, it:0.18, its:0.20, just:0.08, mcu:0.14, most:0.10, movie:0.04, my:0.08, now:0.12, of:0.09, one:0.07, only:0.10, scenes:0.10, script:0.27, some:0.09, story:0.08, such:0.13, that:0.17, the:0.39, their:0.10, they:0.09, this:0.05, to:0.09, visual:0.14, was:0.12, watch:0.10, with:0.06, you:0.07"
2021-12-02,"I might be in the minority here I still really like this movie but this movie has not aged as well as people say it is. Again when this movie first came out in 2012 it was the first time we've seen heroes team up so it was tons of fun and it felt like a masterpiece, but the new Avengers movies are much better in my opinion and certain things of the movie feel flat. The visuals loom strange, the action is cool but not great, and the story was okay.",7,2021-12,Thursday,"2012:0.16, action:0.07, again:0.14, and:0.13, are:0.08, as:0.16, avengers:0.07, be:0.08, better:0.12, but:0.20, came:0.16, cool:0.16, feel:0.14, felt:0.14, first:0.21, fun:0.11, great:0.08, has:0.10, here:0.14, heroes:0.11, in:0.18, is:0.10, it:0.20, like:0.17, movie:0.20, movies:0.08, much:0.10, my:0.09, new:0.14, not:0.15, of:0.10, opinion:0.16, out:0.10, people:0.13, really:0.10, say:0.13, seen:0.11, so:0.09, still:0.13, story:0.10, team:0.13, the:0.28, things:0.15, this:0.16, time:0.09, up:0.10, ve:0.12, visuals:0.17, was:0.20, we:0.13, well:0.10, when:0.11"
2021-12-01,As revolutionary as it was in 2013 it feels incomplete and lackluster in 2021,5,2021-12,Wednesday,"and:0.14, as:0.54, feels:0.59, in:0.41, it:0.34, was:0.23"
2021-10-25,"While The Avengers exhibits exemplary craftsmanship, Joss Whedon hasn’t made",10,2021-10,Monday,"avengers:0.28, joss:0.45, made:0.47, the:0.17, whedon:0.43, while:0.53"
2021-09-28,I saw this movie when I was 8 years old and I had a fit of nostalgia when I saw it again.,9,2021-09,Tuesday,"again:0.28, and:0.09, had:0.22, it:0.11, movie:0.10, of:0.10, old:0.37, saw:0.59, this:0.11, was:0.14, when:0.45, years:0.33"
2021-09-23,The first movie I saw of the Marvel Cinematic Universe and today I still love it as if it were the first time I saw it.,9,2021-09,Thursday,"and:0.08, as:0.16, first:0.41, if:0.18, it:0.29, love:0.24, marvel:0.15, movie:0.10, of:0.09, saw:0.55, still:0.24, the:0.23, time:0.18, universe:0.32, were:0.20"
2021-09-18,"I did not like this movie as much as i remembered. I can't really explain why. It of course is not a bad movie, there is not a thing as a bad marvel movie, its still a fine movie, just not up to what i expect from marvel.",6,2021-09,Saturday,"as:0.34, bad:0.38, can:0.15, course:0.23, did:0.16, expect:0.22, from:0.13, is:0.14, it:0.07, its:0.15, just:0.12, like:0.12, marvel:0.22, movie:0.27, much:0.13, not:0.41, of:0.07, really:0.13, still:0.17, there:0.13, thing:0.18, this:0.07, to:0.07, up:0.13, what:0.14, why:0.21"
2021-09-18,La primera de Avengers es de las mejores del género  y hoy en día sigue siendo una buen ejemplo de como hacer una película de un grupo de superhéroes.,9,2021-09,Saturday,"avengers:0.07, de:0.86, en:0.19, la:0.18, un:0.19, una:0.38"
2021-09-17,"I found a few inaccuracies in the plot, but they are insignificant. Good fight choreography.",8,2021-09,Friday,"are:0.25, but:0.20, few:0.43, fight:0.43, found:0.49, good:0.24, in:0.18, plot:0.32, the:0.12, they:0.29"
2021-09-06,"Avengers was the movie that propelled Marvel Studios to fame.
This is one of those movies that marked a before and after in the cinema.",9,2021-09,Monday,"after:0.34, and:0.11, avengers:0.17, before:0.37, cinema:0.43, in:0.16, is:0.13, marvel:0.20, movie:0.13, movies:0.21, of:0.12, one:0.19, that:0.32, the:0.21, this:0.14, those:0.34, to:0.13, was:0.17"
2021-08-08,Great movie with solid plot to it only problem is the plot armor holes that happen throughout the film that set up thing to happen perfectly,9,2021-08,Sunday,"film:0.15, great:0.15, is:0.10, it:0.10, movie:0.10, only:0.23, perfectly:0.33, plot:0.44, set:0.31, solid:0.32, that:0.26, the:0.16, thing:0.26, throughout:0.33, to:0.20, up:0.19, with:0.14"
2021-08-02,I loved this when I first saw it at least it’s better than the second one but the third and fourth one are my top 2 favorite,10,2021-08,Monday,"and:0.09, are:0.17, at:0.18, better:0.23, but:0.13, favorite:0.27, first:0.21, it:0.20, least:0.32, loved:0.29, my:0.18, one:0.30, saw:0.28, second:0.32, than:0.21, the:0.16, this:0.11, top:0.29, when:0.21"
2021-04-24,"Still great all this time later. First of it's kind, and still one of the best of it's kind.",9,2021-04,Saturday,"all:0.14, and:0.09, best:0.16, first:0.21, great:0.15, it:0.21, kind:0.64, of:0.29, one:0.15, still:0.51, the:0.08, this:0.11, time:0.19"
2021-03-28,"Beautifully brings over the themes of each of the main characters' standalone films and manages to naturally bring them together. The 3rd act is truly epic, containing some of the best action in the entire MCU, and is the first film in the MCU to succeed as a completion of its themes. Not all of its main characters are created equal, though, as some are more compelling than others (cough cough, Thor). The villain also loses his intimidation too quickly into the 3rd act.",9,2021-03,Sunday,"action:0.07, all:0.07, also:0.12, and:0.09, are:0.17, as:0.17, best:0.08, bring:0.18, characters:0.17, created:0.18, each:0.12, entire:0.17, epic:0.15, film:0.08, films:0.12, first:0.11, his:0.13, in:0.13, into:0.13, is:0.11, its:0.23, main:0.30, mcu:0.32, more:0.10, not:0.08, of:0.25, over:0.14, some:0.20, than:0.11, the:0.37, them:0.12, thor:0.11, though:0.13, to:0.10, together:0.11, too:0.12, truly:0.16, villain:0.13"
2021-03-13,"With a solid plot, a fantastic cast, and great actors, The Avengers is a really good superhero movies. All of the characters have very interesting relationships with each other - some of bond, others of contempt. Even though this film isn’t nearly as well written as some of its predecessors (particularly Iron Man,) it gets the job done. The directing is fine and the action suffices. Overall, this is a really good, action-packed, yet not surface level movie.",8,2021-03,Saturday,"action:0.15, actors:0.16, all:0.08, and:0.10, as:0.19, avengers:0.08, cast:0.13, characters:0.09, done:0.16, each:0.14, even:0.12, fantastic:0.16, film:0.09, gets:0.16, good:0.19, great:0.09, have:0.09, interesting:0.17, iron:0.12, is:0.18, isn:0.17, it:0.06, its:0.13, job:0.16, level:0.19, man:0.11, movie:0.06, movies:0.09, not:0.09, of:0.22, other:0.12, overall:0.15, packed:0.17, plot:0.12, really:0.22, solid:0.18, some:0.23, superhero:0.10, the:0.23, this:0.12, though:0.15, very:0.11, well:0.11, with:0.16, written:0.19, yet:0.17"
2021-03-11,my favorite movie ever from 2012! this movie is one of the best movies from 2012 in my opinion!,10,2021-03,Thursday,"2012:0.60, best:0.16, ever:0.22, favorite:0.27, from:0.37, in:0.12, is:0.10, movie:0.19, movies:0.16, my:0.36, of:0.09, one:0.15, opinion:0.30, the:0.08, this:0.10"
2021-01-30,"I've been a fan of the superhero genre since I was a child. Superheroes fascinate me because they have superhuman abilities and they can accomplish amazing feats that a regular human can't. And what I like more than a movie with a superhero is a movie with multiple superheroes! I love team-ups. When I first saw this movie back in 2012, it blew my goddamned mind. The scale of it, the number of superheros, the CGI. I honestly believed this movie was the peak of superhero movies and that nothing will ever beat it. In retrospective, I was of course wrong... Fortunately.

Not only is this movie very good on its own, but the fact that there was a build-up to it from the previous movies that also established our main characters makes it even better. I watched all the other movies that lead up to The Avengers. I absolutely love the cohesion of the Marvel Cinematic Universe.",10,2021-01,Saturday,"2012:0.11, absolutely:0.11, all:0.05, also:0.08, amazing:0.08, and:0.09, avengers:0.05, back:0.11, because:0.08, been:0.08, better:0.09, build:0.13, but:0.05, can:0.16, cgi:0.13, characters:0.06, course:0.12, even:0.08, ever:0.08, fact:0.12, fan:0.09, first:0.08, from:0.07, genre:0.13, good:0.06, have:0.06, in:0.09, is:0.07, it:0.18, its:0.08, like:0.06, love:0.18, main:0.11, makes:0.10, marvel:0.06, me:0.07, mind:0.11, more:0.07, movie:0.18, movies:0.18, multiple:0.12, my:0.07, not:0.05, nothing:0.10, of:0.21, on:0.06, only:0.08, other:0.08, own:0.11, previous:0.12, saw:0.10, since:0.11, superhero:0.19, superheroes:0.18, team:0.09, than:0.08, that:0.23, the:0.32, there:0.07, they:0.14, this:0.12, to:0.07, universe:0.12, up:0.14, ve:0.09, very:0.07, was:0.20, watched:0.12, what:0.07, when:0.08, will:0.08, with:0.10, wrong:0.12"
