date,review,score
"Dec 15, 2024",This movie is a great introduction to the Avengers as a team on the big screen and the movies before it perfectly introduced the team slowly. I have no big gripes with the movie besides the post credit scene Thanos and how he looked very bug eyed otherwise this movie is a perfect movie to watch as the whole family.,5
"Dec 14, 2024","Amazing     
No need
To
EXPLAIN",5
"Dec 13, 2024",This movie was a masterpiece,5
"Nov 29, 2024",Awesome movie love this .,5
"Nov 18, 2024","It is definitely an excellent movie. You should watch it at any time, even before you die. It is a great movie, especially in terms of visual effects, character development and acting. It is a very good and high-quality movie. It also has sequels and 2 new movies will be released, and the last 2 movies of the sequels were beyond great. But as the first movie and as a start, it is a logical, beautiful and high quality movie that you should watch whenever you can.",4
"Nov 18, 2024","Direção: Bom
Atuação: Bom
Roteiro: Bom
Caracterização: Bom
Soundtrack: Bom",5
"Nov 11, 2024","5/5 one of the best movies of all time, especially in the theaters bro seeing all these characters come together! Peak cinema bro",5
"Nov 7, 2024","Achei um dos melhores filmes do UCM, o jeito que conseguem unir personagens com personalidades completamente opostas e formarem um grupo tão bom, mas eu acho que existem filmes melhores, o filme tem um roteiro bom e com poucos furos, então eu recomendo.",4
"Oct 22, 2024",It was one of the best superhero films out at the time. This was a time before they started ruining the stories with political messages and other politics.,5
"Oct 14, 2024",It was one of the best superhero films out at the time. This was a time before they started ruining the stories with political messages and other politics. Long story short it was before they started following the same downward spiral as the comic book industry. This was back when they wanted to tell good stories to the majority of its audience instead of insulting them.,5
"Oct 14, 2024",Of course I love this movie. It’s the biggest blockbuster in the 2010s I don’t know a single person who hates it.,4.5
"Oct 12, 2024","You can't beat the classics, back when Marvel movies had good writing.",5
"Sep 29, 2024",92/100 This movie I rewatched more than any other Marvel movie.,4.5
"Sep 21, 2024",That movie is very great.,4
"Sep 19, 2024",Incredible movie and end to phase 1 of the mcu! I heavily recommend this movie,5
"Sep 6, 2024",Great and doesn't take too much MCU knowledge to understand the plot,5
"Sep 4, 2024","'Marvel's The Avengers' will always be the defining superhero movie of a generation, one that changed the entire landscape of superhero movies for better or for worse. It perfectly juggles it's complex characters and their development, is filled with action-packed hero-vs-hero fights that you'd expect, and culminates in a memorable finale that will have fans anxiously awaiting the next team up. Superhero films may not be loved by everyone in today's landscape, but to those who experience this one at the height of it's popularity, they will never forget it. Like the premise of this and it's sequels film, we assembled for it.",5
"Sep 4, 2024",Maybe this is peak nostalgia,4.5
"Aug 31, 2024",Just an all around great superhero movie,4.5
"Aug 31, 2024","I know people don't like avengers, but I think it's a great superhero movie.",4.5
"Aug 30, 2024","This movie acts as a perfect tone setter for the establishment of an expansive cinematic universe, that would ultimately be as successful as the MCU has been.",4
"Aug 27, 2024","Two's a company, Three's a crowd. And this one is too very crowded. With a predictable script, this film is very heroically star sprangled but for me it was a bore after the first hour watch.",2.5
"Aug 19, 2024",Totally epic movie. Always be a fan of Avengers.,5
"Aug 19, 2024","The costumes of the actors seemed to be very real, as if they were in their roles. The dress is really beautiful.",5
"Aug 18, 2024",The culmination of the first phase of Marvel and no one could have done it better than the director Joss Whedon.,5
"Aug 15, 2024",The day 6 legends were born....,4.5
"Aug 4, 2024",If this movie is not a must see I don't know what is !,5
"Jul 29, 2024",#Recommended 5/10,2.5
"Jul 28, 2024",This movie is one of the greatest multi-main character action movies of all time,4.5
"Jul 27, 2024",Hulk smash! The begging of the end for the big guy.,4.5
"Jun 25, 2024","Very good movie, I wish they could’ve kept up with the good work.",4.5
"Jun 23, 2024",You need to see this movie. Little to no background knowledge needed versus other Marvel movies.,5
"Jun 21, 2024","I like this movie. It as a good pace, keep us riveted to the screen.  A+ cast.",4.5
"Jun 13, 2024","9 / 10.  Fast paced, good story!",4
"Jun 9, 2024",One of marvels better outings.,5
"Jun 9, 2024","One of the best movies of MCU, characters developing were excellent, plot were amazing",5
"Jun 6, 2024",Still holds up today as one of the better MCU movies!,4
"Jun 4, 2024","Esse  filme é a transição para o sucesso na Marvel, sendo incrível e bom! Além de boa ação. O problema é ter um vilão como o loki que nem se compara a eles, além de ser fraco e encurtar o filme.",3.5
"May 31, 2024","Solid. It isn’t quite peak Avengers, and the pacing isn’t as exciting as later on, but this does what it should for the universe and characters.",4
"May 31, 2024","tem um desenvolvimento de personagem incrivel, atuação otima, efeitos especiais impecaveis a não ser pelo thanos no final, um vilão fantastico, e definitivamente um filme que fez historia, fez o genero de super heroi ser incrivelmente popular, mesmo os criticos normalmente não gostando de super herois deram notas altissimas ou seja, convenceu ate os do contra",5
"May 19, 2024",This movie works all around the board. It keeps the plot simple and adheres to the core of each character. Great acting too.,5
"May 18, 2024","Marvel nailed it with this one. 
Every character gets their time to shine and interact with each other, which makes for great laughs and memorable fight scenes. The villain and storyline are also perfectly executed, that also teases Thanos.",5
"May 8, 2024","The first real superhero collaboration movie that worked really well. The visuals were incredible, hell of a movie.",5
"Apr 30, 2024",A blockbuster cast with special effects and costume design that didn't age as well as earlier Marvel  films. RDJ and Hiddleston carry this one.,4
"Apr 21, 2024","I want to share with you a review of the movie ""The Avengers"", which was released by Marvel in 2012. The film is directed by Joss Whedon. The film's budget is $220,000,000. Starring Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgard, Samuel L. Jackson.
The story begins with an experiment on the Tesseract, an ancient relic that is a source of infinite energy at the base of the SHIELD, where Loki, the God of lies and deceit, appears from a portal. He takes possession of the Tesseract and forces Clint Barton and Eric Selvig to also declare war for the subjugation of the Earth. Fury then turns to the most powerful heroes for help, activating the ""Avengers Initiative"" to save the Tesseract and stop the attack planned by Loki. He unites Steve Rogers, Tony Stark, Bruce Banner, the Thunder God Thor, Agent Romanoff and later Hawkeye. Together they must fight Loki's army to protect the Earth.
The acting is excellent, I especially liked the performance of Robert Downey Jr., who played Iron Man. I had the feeling that he was not playing, but living this little life, getting tremendous pleasure from this image. I also liked the music playing in the film, especially AC/DC - Shoot To Thrill.
I really liked the ending, where the true character of Tony Stark is revealed very well. It was interesting to watch, and if you like the Marvel universe, then you just need to watch it.",5
"Apr 16, 2024",The entire movie was slow and repetitive. Nothing original or interesting. I skipped through most of it. But I did enjoy watching Robert Downey and Scarlet Johannson. So I gave it 2 stars for those two.,2
"Apr 3, 2024",It's a great start to the series. Plot is pretty good and implementation is great (like in most Marvels). Overall VERY solid.,4.5
"Mar 25, 2024","It is one of the best movies that Marvel has ever made and the film has it all; the jokes, action and beautiful visual effects for its time.",5
"Mar 20, 2024",I mean what else would you expect from Marvel. The prior solo films of some of the main characters led us to this point that will kickstart a journey unlike anything in cinema since Star Wars.,5
"Mar 17, 2024","Una película emocionante, que supo manejar a los personajes y adaptarlos muy bien, me encantó como desarrollaban y acababan con el conflicto, definitivamente marvel estaba en sus mejores momentos.",4.5
"Mar 16, 2024",Such a good movie with a classic adventures feel. i have seen this like 1000 times.,5
"Mar 13, 2024",im el iron man tatattatttatattatattatatattatattatatyattatataytatytat,4
"Mar 7, 2024",The fun cast and simple exciting story makes up for a poor production,4
"Mar 5, 2024",Love it! The way they brought it all together in this movie and staged opportunities on where to go from here - enjoying MCU much more than I thought I would’ve.,5
"Mar 2, 2024",UM DOS MELHORES FILME DA MINHA VIDA SE NÃO O MELHOR,5
"Mar 1, 2024","Wow...what a movie. One of the best from Marvel. Everything works in the Avengers, there is hardcore action, funny scenes, cool lines, and a lot of bang for the buck.",4.5
"Feb 28, 2024",I love the dialogue and characterization to the entire plotline and storyline to this movie,4.5
"Feb 22, 2024","A great, fun film that showcases the acting talents of all shown.",4.5
"Feb 19, 2024","Muito bom! Recomendo muito este filme.
Espero muito ver os Heróis mais poderosos da Terra novamente nas telonas.",5
"Feb 17, 2024","Groundbreaking for its time. Audiences now days may take team ups and crossovers for granted, but ill never forget the first time i saw Captain America face off against Loki, a villain from another franchise. Nor will I forget seeing characters stand united on screen together without any legal rights interfering. AND there's also the story which is also paced and balanced perfectly. Tom Hiddleston works his evil magic on our hearts.",5
"Feb 16, 2024","Outstanding storyline, great action, great actors.  What a great comic book team-up should look like.",5
"Feb 13, 2024","The culmination of ""Phase One"" arrives to much applause! A cinematic first to show that a collection of a shared universe of movies is possible, to which, many other studios would attempt to formulate themselves with their respective IPs. 

Marvel proved that it's possible to combine many different heroes together. Ensemble movies where you have to share screen time with many protagonists can be tough within itself, giving each their own character arc, all within a 2 1/2 hour timeframe, yet, they made it work. Granted, having most characters already have at least one movie beforehand to set the groundwork up for their character helps.

This movie is a fun movie all around!",5
"Feb 8, 2024","It didn't age well today in my opinion, too goofy and i have a different view on its director after Justice league",3.5
"Feb 1, 2024",The fact this has higher ratings than The Dark Knight Rises tells you that millennials that like this movie are betas and don't know anything about film,1
"Jan 28, 2024",A fantastic Superhero movie... You'd absolute like it if you want fun and intense Superhero action! It has everything!,5
"Jan 10, 2024","A little cartoony, but great for its time",4
"Jan 5, 2024",AVANGERS VS LOKI YO WHAT?!?!?! LOWKEY LOKI FR 90-92%,4.5
"Dec 30, 2023",All of Marvel’s Phase One built up to this and at the time many felt it could not be done. Several characters from their separate movies come together to form the World’s Mightiest Heroes in this landmark movie.,5
"Dec 28, 2023","The Avengers have been assembled and, for the most part, they fit together superbly. A joyous blend of heroism and humour that raises the stakes even as it maintains a firm grip on what makes the individual heroes tick.",4.5
"Dec 26, 2023","One of my favorite movies of all time. That's pure nostalgia, but thinking back, this movie absolutely changed everything for the MCU, the superhero genre, and ensemble films. It showed that this connected universe thing is possible. I still love re-watching this movie, I can quote it all day.",5
"Dec 24, 2023","I especially loved the score of this film, I did it for marching band so ++ for nostalgia",4.5
"Dec 9, 2023","A well-made blockbuster with amazing characters, a focused storyline and great action sequences. The only issue with this movie is that it drags a little.",4
"Dec 5, 2023","At a time when the idea of superheroes teaming up was still an idea that many people thought would never happen in live action, this was a true event of a film. It was a lot of fun and the characters played off of each other very well. More lighthearted than some of the future Avengers movies, which both works for and against it.",4
"Dec 4, 2023",Peak superhero film that changed history.,5
"Nov 29, 2023","Like all marvel films
Boring",0.5
"Nov 27, 2023","A story fun and engaging for anyone, and full of iconic lines and scenes. Truly a gamechanger.",5
"Nov 26, 2023","Perfection, and nostalgic.",5
"Nov 25, 2023",Acción increíble personajes épicos y loki es un genial villano los efectos son buenísimo y me encanta la historia y el guión un genial crossover es un 9.1 de 10,4.5
"Nov 16, 2023","The avengers is filled with great character arcs, amazing action sequences and a great film bringing the heroes together.",5
"Nov 14, 2023","An unprecedented coming-together of America's heroes, in a near seamless fashion that was everything the audience could hope for and more. A score to be remembered for generations, and characters that will shape the future of movies for years to come. Avengers cements its place as the cornerstone of the MCU. 9/10.",4.5
"Nov 14, 2023",Avengers assemble. Great team up movie. Plot was great. Loki was great. What more needs to be said,5
"Nov 12, 2023",One of the best movies of all time.,5
"Nov 12, 2023","Pretty good movie, entertaining.",3.5
"Nov 11, 2023","This is a great film! Every character gets their chance to shine and they all use their screen time well. RDJ, Tom Hiddleston and Scarlett Johansson give the best performances but the rest of the cast is still solid. The plot is great with plenty of action and comedy to keep you entertained. It's exciting seeing all the main heroes meet up for the first time. I also love how frightening/intimidating they made the Hulk out to be (I miss this version of him). Overall, this is a solid entry and definitely one of the MCU's best!",5
"Nov 11, 2023",Even after all this time I still remember the energy watching this in theaters. A little goofy but a nice way to show how much potential the mcu has. Everyone had stand out performances.,5
"Nov 10, 2023","The cast is star studded, the action is second to none, just one of Marvels greatest projects.",5
"Nov 10, 2023",As a kid who grew up on comic; this movie is is fantastic!,5
"Nov 7, 2023",The beginning and it was at the time the best effing thing,5
"Oct 30, 2023",This movie was a great start of a cinematic era,4
"Oct 28, 2023",One of the best collabs ever,5
"Oct 16, 2023",It was perfect.Perfect.Everything down to the last minute details,5
"Oct 12, 2023","After a significant build-up consisting of several movies introducing various iconic characters, Marvel finally delivered The Avengers, their big superhero crossover and the most ambitious comic-book movie adaptation at that time.

Directed by Joss Whedon, with an all-star cast portraying the likes of Captain America (Chris Evans), Iron Man (Robert Downey Jr.) and Thor (Chris Hemsworth), plus a long hinted-at plot that gets to the point right away, the film quickly broke a billion dollars at the box-office and it remains one of the most popular movies of all time. Marvel's bold, expensive move paid off, to say the least, and comic-book movies are still just as big as they were back in 2012, some would say more so.

Seeing all these characters together in the same film was certainly a main draw for audiences but without such a talented and dedicated cast, it's arguably unlikely that the film would have spawned as many sequels and spin-offs as it did and led to the continuation of Marvel's (and Disney's) comic-book movie domination. The story sees Loki (Tom Hiddleston) use the Tesseract to open a space portal thereby allowing all sorts of villainous creatures into the world as Nick Fury (Samuel L. Jackson) assembles his team of Avengers to stop him.

Keeping the plot simple was certainly a good move as anything more convoluted than that could have gotten pretty messy. On the other hand, having the film just be about a one-dimensional villain we've already seen in another movie use a macguffin for some vague megalomaniac endgame he doesn't even seem all that devoted to, makes The Avengers feel a little slight depth-wise. Loki himself isn't quite as interesting as he was in Thor but Tom Hiddleston keeps him charming and fun throughout. Most of the enemies the Avengers face, however, are faceless no-name aliens and are only there to be disposed of. 

One third of the film is dedicated to introducing characters old and new like Bruce Banner/The Hulk, played by a perfectly cast Mark Ruffalo, the middle part follows Loki's escape and the Avengers having to deal with that, while the finale is just one big New York City-set battle. The film is long but it's paced well with key action beats and, whenever the heroes are interacting with each other, even if they're just standing around discussing exposition, it's a joy.

The Avengers isn't a perfect film. As I mentioned earlier, it isn't exactly a challenging watch, which is both good and not-so-good but altogether understandable. It has quite a few ropey moments, especially near the beginning when Loki shows up to brainwash Hawkeye (Jeremy Renner), or whenever some alien thing we don't know is talking next to a glowing staircase somewhere on a space rock, or when a joke doesn't quite hit the mark. And it's a shame that Loki never gets a final fight against all the Avengers or at least his brother Thor.

Instead, he just basically gives up about halfway through. This is a slick-looking movie with some impressive CG effects (Hulk looks great, mostly) and it's never dull but the cast really is the glue that holds the whole thing together: Robert Downey Jr.'s wit, Chris Evans' earnest heroism, Scarlett Johansson's super-spy antics, all of that comes together beautifully and it effortlessly fleshes out characters you wouldn't necessarily expect to care this much about, let alone at all.

There's no denying what a huge achievement The Avengers was. The fact that Marvel planned out such a ridiculous project so meticulously and it somehow all led to a genuinely solid, entertaining blockbuster is worth celebrating. The film itself is slightly uneven but it's so full of charm and boasts enough cleverly put-together set-pieces that, for any comic-book fan especially, this is simply a treat.

Excelsior!",3
"Oct 10, 2023",Yeah i like this movie a lot,4.5
"Oct 7, 2023","For all the MCU newbies out there, this is a MUST to watch. This movie introduces all of the OG Avengers, and you aren't a Marvel fan if you didn't love this movie. The villain is well thought out, the characters are spectacular, and the action scenes are so well performed! Well done to the director and the entire cast and crew behind this movie!",5
"Oct 3, 2023","I remembered this being better, but it's good... (not so much), it deserves a 7/10",3.5
"Sep 24, 2023","When this movie i watched i was super excited because i didn't have watched something like that before. All the characters in the same movie where I have watched them separately in the movies. Overall story, Action, VFX was superb. This was the beginning of new era.",4
"Sep 22, 2023","Impresionante, me encantó",5
"Sep 22, 2023","It's very exciting movie, the special effects are fantastic.",4.5
"Sep 22, 2023","ten out of ten!!!
Marvel, the favorite of many ☺️",5
"Sep 21, 2023",It's only an amusing movie !,3
"Sep 21, 2023",Siempre increíbles las películas de los Avengers y esta película también lo es,5
"Sep 17, 2023",This movie is a master piece,5
"Sep 17, 2023","This is what kickstart the MCU and how he became great this was the first ever superhero crossover that we’ve seen any piece of very very well this film took C list characters in turned them into household names throughout the MCU. Loki as a villain was so entertaining into me probably the best performance in this movie Iron Man, Captain America Thor, black widow hulk, and Hawkeye were all interesting, and had a character arc of reuniting as a team and they did that really good. The only problem that I have with this movie is just a joke. It was too many jokes, but they balance out the jokes with the seriousness, and made sure he didn’t feel like a parity of itself. This was a really good movie, and where the MCU became a cultural phenomenon 9/10",5
"Sep 10, 2023",This was a good first Avengers movie I loved the acting and all of the action in this movie overall it was a good time,4.5
"Sep 8, 2023",Avengers is a blockbuster Movie that's really entertaining and super fun.,4.5
"Sep 4, 2023",AWESOME!!NO FLAWS SOOOO GOOD,5
"Sep 3, 2023",one of the best mcu movie of all time,4
"Sep 2, 2023","La primera vez que la Vi fue mi película favorita, pero... Hoy en día se me hace aburrida. Aún así no quita el echo de que sea una buena película para su época (2012)",5
"Aug 30, 2023","As someone who isn't a fan of The Avengers, I wasn't expecting this movie to this good!, thanks to a script that is emphasized on a characters weaker aspects, The Avengers came across as sympathetic & likable not to mention this movie's way too engaging and entertaining, definitely a great movie for hardcore Avenger fans & a fantastic movie for casual fans.",3.5
"Aug 29, 2023","Joss Whedon, although his recent controversy, does an amazing job at uniting these heroes together into a realistic flawed team that must work together for the fate of the world.",4
"Aug 18, 2023","Strong plot, Great characters, plenty of action that is done right, and overall one of the best MCU movies.",4
"Aug 18, 2023",The Avengers is pure cinematic superhero bliss. Each character has a chance to shine on their own while adding to a triumphant film experience.,4.5
"Aug 16, 2023","O FILME EM SI É BOM , MAS NAO SE ARRISCA , O FILME SE EXPLICA , ENREDO BOM , BATALHAS BEM FEITAS E BEM ESCRITAS , OTIMAS ATUAÇOES , EM RESUMO MAIS UM DOS OTIMOS FILMES DA MARVEL....",4
"Aug 7, 2023",Marvel's The Avengers is a strong installment in the MCU movie franchise worth watching!,4
"Aug 7, 2023",The 5 stars says it all,5
"Aug 7, 2023","Peak superhero media, the absolute best of the Marvel movies. The Avengers is consistently entertaining and thrilling from start to finish. It is brimming with quippy, clever dialogue, and an undeniable charm. Every bit that is hokey adds to the flavor of this film, from the cheesy costumes and forced jokes, to the tryhard nature of some of the action, which has ridiculously memorable choreography and moments in every sequence, I might add. This is an absolute treat of a blockbuster. It seems there will never be another movie quite like this one, and that's a shame.",5
"Aug 5, 2023",Fantastic Movie. Loved the cross over. A great way to end the 1st phase of the MCU.,4.5
"Aug 4, 2023",I was blown when all of them came together after gradually building them up throughout the years of phase 1. This movie is a total classic when they face a world ending threat together. Still definitely one of the best movies in the MCU! Loki being the villain and the post credits scene of thanos making his debut into the MCU were astonishing!,5
"Aug 3, 2023","Doesn't age as well as you hope, but still a classic.",4
"Jul 28, 2023",Es el crossover mas legendario de la historia de la historia loki mi villano favorito de marvel y bueno esta genial es un 9.2 de 10,4.5
"Jul 27, 2023","The original Avengers movie is a classic. It was such a cool movie at the time and still holds up pretty well to this day. The action, the characters, the thrills, they are just great.",5
"Jul 23, 2023","The Avengers assembles Earth's mightiest heroes into an exhilarating and action-packed spectacle, showcasing Joss Whedon's skilful direction and delivering a superhero team-up like never before.",4
"Jul 21, 2023",it was a pretty good origin story for all of them getting together,5
"Jul 14, 2023","History in the making, an instant classic.",5
"Jul 12, 2023",This movie is the perfect team-up film. I wish I could go back to Summer 2012 and experience this in theaters again for the first time.,5
"Jul 11, 2023",Facilmente um dos melhores filmes do UCM e atrás de homem de ferro é o melhor filme da fase um.,4.5
"Jul 11, 2023",It was really fun to see all the characters interacting for the first time. Everyone gets a chance to shine at various times throughout. A great way to wrap up Marvel's Phase 1.,4
"Jul 11, 2023","I'm a marvel person, and this started it all",5
"Jul 9, 2023","Serviceable direction, great acting, and it's cool to see our characters come together. However, most of the best material for this movie is in the deleted scenes.",4.5
"Jul 4, 2023","Simply awe inspiring 
They said it could never be done but marvel bought together what many believed could not work as a movie 
And they knocked it out of the park 
Not only dose every character get a chance to shine but the writing is so strong that when they all come together you get a feeling of such natural chemistry that at times you forget your watching a comic book movie 
To see how far these kinds of movies have come is nothing short of a modern day film miracle as for the first time in a long time audience are given more then was promised to them and then some 
But you have to wonder at this point how much more Dan a cast grow in number without this fine Original quality becoming lost 
How many more times can the avengers unite before the genre starts to show ring rust",5
"Jul 3, 2023","Oh, the good old avengers, how I miss them)",5
"Jul 3, 2023",Love the Avengers and all star cast!,5
"Jul 2, 2023","As a ""putting the band together"" movie it does its job, but honestly, I know action is a big feature of superhero films, but this has two enormously extended action scenes, one at half way and one at the end, and I think they're both far too long. The middle one is at least interesting enough, but the final extended fight scene is just what feels like 45 minutes of CGI bashing and explosions. It didn't need to be that long, and they could have instead put more character and plot development into the film.",3
"Jun 30, 2023","Overrated flick, the action keeps disappointing, the characters are strange, nonsensical plots, lame music. Just empty.",2
"Jun 28, 2023",The movie is an cinematic masterpiece that not only serves as a sequel to every other marvel frachise in existence but also finds ways to combine each character of different genres into one cohesive narrative.,5
"Jun 28, 2023",An Awesome team up of the ages,3.5
"Jun 26, 2023",Esse filme mudou a historia do gênero de heróis no cinema.,5
"Jun 25, 2023",A great movie that helped improve the MCU and start its amazing storyline.,5
"Jun 20, 2023","This was a good start, I remember watching this on theatres(turns out I watched all Avengers movies in theatres). Amazing camera movement, action packed scenes, perfect introductions. Even non-Marvel fans would love this movie. Loki is a great villain too btw...",3.5
"Jun 19, 2023",The avengers was the very first marvel movie where the avengers assembled for the first time. And it was awesome.,3.5
"Jun 16, 2023","The movie changes aspect ratios pretty often which can be distracting. It's a good movie that explores the meeting of the main heroes of the Infinity Saga, but it was a bit jarring how they all went from hating each other to suddenly fighting together so quickly at the end.",3.5
"Jun 14, 2023","Muy buena película, me encanto",5
"Jun 11, 2023","The first Avengers is something special, and I will always love it, it's the first MCU movie I ever saw in Theaters, and the entire movie is awesome!",5
"Jun 8, 2023",Greatest team up movie ever. The origin story of separate characters nicely merged and excellently directed. Final Battle was massive.,4
"Jun 8, 2023",it was a good movie starring good actors,4
"Jun 4, 2023",It is a decent team up film. Out all the Avengers film though this is my least favorite. It was awesome to see how the team worked together for the first time facing off against Thor's adopted brother Loki who sets out to attempt to conquer Earth for Thanos.,3
"Jun 4, 2023","Marvel's The Avengers is surely Phase One's best movie and one of MCU's overall. With a good plot, great characters and performances and stunning action sequences with great CGI.",4.5
"Jun 2, 2023",A cult-classic superhero movie of all-time .,4.5
"May 28, 2023","While this film may not seem as special now, it managed to bring together a group of characters from separate stories and unite them into one, which had never been done before.",4
"May 24, 2023",its crazy how this movie did things that we only could have dreamed for (bringing all heroes for a team up movie),4
"May 21, 2023",Great ensemble but im expecting for more.,2
"May 21, 2023",It all leads to this. What can you say but well done.,5
"May 19, 2023",Awsome movie my favorite one,5
"May 19, 2023",esta pelicula fue unas de las mas buenas de marvel bueno tras que hay superheroes de nuestra infancia cuando leemos los comics de marvel aaay que recuerdos calificacion b+,4
"May 18, 2023",this is a bad boring movie,2
"May 16, 2023","The Avengers was meticulously crafted and well thought out. There was careful consideration taken in every element, every plotline and every piece of dialogue, which is can be positive but also negative. Because it was such a monumental cinematic moment, it seemed as though the filmmakers were doing everything possible to not mess it up and therefore did not take many risks. That being said, the film itself is fantastic. Seeing Earth's mightiest heroes fight side by side give you goosebumps, there are genuinely funny moments and the plot moves forward logically. However, compared to later films in the MCU, The Avengers just seems a little too safe.",4.5
"May 13, 2023",The cross-over superhero epic which first showed how huge stories can Marvel call into being and proved that the studio will be an elemental part of Hollywood from then on.,4.5
"May 12, 2023",Brings back good memories.,5
"May 10, 2023","One of the best mcu movies of all time, the avengers are the best in this, this has the 2nd best villain, an incredible film.",4.5
"May 9, 2023",Absolute Classic. Nothing else to say.,4.5
"May 9, 2023","The Avengers is one of THE BEST action movies I've ever watched, and I HAVE to tell everybody who will listen that. Now that I've seen it, it's hard to express how excited I am. I deliberately steer clear of building myself up for movies because I find that when I do, nothing really seems to be able to live up to my expectations. I typically steer clear of hype trains whenever I can. Having said that, I was quite excited to watch this movie and was entirely on board with the buzz. It was unavoidable. I could have been severely disappointed if this movie had been bad. I'm overjoyed to say that the exact opposite has occurred.",5
"May 8, 2023",It is such a classic 👌,5
"May 6, 2023",It's a great team up film. I've enjoyed the film from first to last. The character of Loki is even more Darker. The film battle was Iconic. Joss Whedon's team up movie was incredible.,4.5
"May 6, 2023","Dated now, but when released it was truly an experience to see all your comic book heroes together for the first time.",4
"May 5, 2023","This movie blew me away when I first saw it back in 2012. Never in my right mind would I imagine that this many( at the time)comic book characters would work so well together on the big screen. Well, we have come a long way since then. Even though it keeps slipping down my ranking of best MCU movies it still is an enjoyable movie.",4
"May 5, 2023","Too much science not enough action, but still love RDJ, Chris Evens, Chris Hemsworth and Mark Ruffalo playing these iconic hero's and making them the characters I know and love",4
"May 5, 2023",This movie has some cool scenes but is actually kinda boring.,3
"May 3, 2023",Amazing film with awesome action and plot,4.5
"May 1, 2023","One of the best MCU films to this date!
Tons of action, suspense 
The first time I saw the hulk was very scary",5
"Apr 30, 2023",Avengers Assembled and this movie kicks arse!,5
"Apr 12, 2023","This movie has great pacing, great chemistry between its leads and has the perfect level of corniness for an MCU movie. Loki in this movie makes a great villain and the dynamics between all the heroes is so well thought out. Also there are some really creative combo attacks from the main characters. The flaws for me are that the first few minutes are kinda lacking and some of the jokes are really cringe, still a good movie",4
"Apr 10, 2023","The 1st Avengers movie is a thrilling
and action-packed adventure that brings together some of the most iconic superheroes from the Marvel universe. The film's seamless blend of humor, drama, and high-stakes action makes for a truly entertaining experience. The chemistry between the cast is fantastic, with each character bringing their unique personality and skills to the table. The special effects are top-notch, bringing the epic battles to life in stunning detail. The only downside is that some of the character development feels a bit rushed, but overall, The Avengers is a must-see for any Marvel fan or lover of superhero movies",4
"Apr 8, 2023","While not perfect, the OG Avengers film provides viewers with a simple yet effective story, while combining our favourite Marvel heroes in epic fashion.

Rating: 89%",4.5
"Apr 8, 2023",The first team-up flick pulls it off well. The characters have mostly been fleshed out before this and the ones that haven't are supporting characters anyhow. Each character gets their own moments that feel earned.,4
"Apr 6, 2023","Up until this point, nothing had been done like this in film and it was executed magnificently. The casting and chemistry between them is on point, the villain is compelling and gets under your skin in the best way, and Robert Downey Jr.'s humor all around is unforgettable, and how can I not mention that glorifying theme song??",5
"Apr 2, 2023",A great story with some epic superheroes gives us the earths mightest Hereos,4
"Apr 2, 2023",Great movie. Action and fun with just enough heart all the way through. Well done.,4.5
